Handle,Title,Vendor,Option1 Value,Variant Grams,Variant Price,Variant Compare At Price,Variant Barcode,Cost per item
Sicce Voyager Nano 1000,Sicce Voyager Nano,Sicce,1000,,48.99,,'8011469963487,
Sicce Voyager Nano 2000,Sicce Voyager Nano,Sicce,2000,,55.99,,'8011469959329,
Northfin Krill Gold 80g,Northfin Krill Gold,Northfin,80g,,10.99,,'799915586333,
Aquavitro Straight Shears,Aquavitro Straight Shears,Aquavitro,,,23.99,,'000116768009,
Aquavitro Foreground Shears,Aquavitro Foreground Shears,Aquavitro,,,34.99,,'000116077057,
Aquavitro Curved Spring Shears,Aquavitro Curved Spring Shears,Aquavitro,,,32.99,,'000116768405,
UNS Aquarium 16T Tall Rimless Ultra Clear Glass,UNS Aquarium 16T Tall Rimless Ultra Clear Glass,UNS,,,69.99,,'810004570535,
UNS Aquarium 60L Long Rimless Ultra Clear Glass,UNS Aquarium 60L Long Rimless Ultra Clear Glass,UNS,,,134.99,,'863741000391,
UNS Aquarium 90L Long Rimless Ultra Clear Glass,UNS Aquarium 90L Long Rimless Ultra Clear Glass,UNS,,,399.99,,'851302008696,
UNS Aquarium 3N Standard Rimless Ultra Clear Glass,UNS Aquarium 3N Standard Rimless Ultra Clear Glass,UNS,,,79.99,,'863741000315,
UNS Aquarium 5N Standard Rimless Ultra Clear Glass,UNS Aquarium 5N Standard Rimless Ultra Clear Glass,UNS,,,99.99,,'863741000308,
UNS Aquarium 45U Standard Rimless Ultra Clear Glass,UNS Aquarium 45U Standard Rimless Ultra Clear Glass,UNS,,,144.99,,'863741000360,
UNS Aquarium 60U Standard Rimless Ultra Clear Glass,UNS Aquarium 60U Standard Rimless Ultra Clear Glass,UNS,,,229.99,,'851302008689,
UNS Mini Dual Stage CO2 Regulator,UNS Mini Dual Stage CO2 Regulator,UNS,,,239.99,,'810004570597,
Northfin Community,Northfin Community,Northfin,,,10.99,,'799975507668,
Northfin Community,Northfin Community,Northfin,,,10.99,,'799975507651,
Northfin Betta Bits,Northfin Betta Bits,Northfin,,,5.99,,'799975507477,
