Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
brightwell-microbacter-7,,,,,,,,,500ml,0,shopify,1,deny,manual,26.99,'810086012206,17.54
brightwell-neonitro,Brightwell NeoNitro,,Brightwell,,Additifs,Eau Salée,TRUE,Size,250ml,0,shopify,0,deny,manual,10.99,'810086016242,6.73
brightwell-neonitro,,,,,,,,,500ml,0,shopify,3,deny,manual,15.99,'810086016259,10.31
brightwell-neophos,Brightwell NeoPhos,,Brightwell,,Additifs,Eau Salée,TRUE,Size,250ml,0,shopify,1,deny,manual,10.99,'810086016273,6.73
brightwell-neophos,,,,,,,,,500ml,0,shopify,0,deny,manual,15.99,'810086016280,10.31
brightwell-microbacter-clean,Brightwell MicroBacter Clean,,Brightwell,,Additifs,Eau Salée,TRUE,Size,250ml,0,shopify,1,deny,manual,15.99,'810086017799,10.35
brightwell-microbacter-clean,,,,,,,,,500ml,0,shopify,4,deny,manual,27.99,'810086017805,18.6
brightwell-razor,Brightwell Razor,,Brightwell,,Additifs,Eau Salée,FALSE,Size,250ml,0,shopify,0,deny,manual,14.99,'810086019014,9.58
brightwell-fish-recover-m,Brightwell Fish Recover M,,Brightwell,,Traitement,Eau Salée,FALSE,Size,250ml,400,shopify,0,deny,manual,17.99,'810086019175,7.27
brightwell-fish-recover-m,,,,,,,,,500ml,400,shopify,0,deny,manual,23.99,'810086019182,12.99
brightwell-frag-recover,Brightwell Frag Recover,,Brightwell,,Traitement,Eau Salée,TRUE,Size,250ml,0,shopify,1,deny,manual,14.99,'810086019434,8.22
brightwell-frag-recover,,,,,,,,,500ml,0,shopify,2,deny,manual,22.99,'810086019441,14.71
brightwell-microbacter-start-xlm,Brightwell MicroBacter Start XLM,,Brightwell,,Additifs,Eau Salée,TRUE,Size,500ml,0,shopify,2,deny,manual,56.99,'810086019526,37.86
robuddy-3-stage,RO Buddie 3 Stages,,AquaticLife,,Osmoseur + Accessoires,"Eau Douce, Eau Salée",TRUE,Title,Default Title,1000,shopify,0,deny,manual,112.99,'810957010164,71.81
robuddy-4-stages,RO Buddie 4 Stages,,AquaticLife,,Osmoseur + Accessoires,"Eau Douce, Eau Salée",TRUE,Title,Default Title,1200,shopify,1,deny,manual,149.99,'810957010195,75.86
cartouche-sediment-robuddy,Cartouche Sédiment RO Buddie,,AquaticLife,,Osmoseur + Accessoires,"Eau Douce, Eau Salée",TRUE,Title,Default Title,0,shopify,5,deny,manual,12.99,'810957012496,6.99
cartouche-charbon-robuddy,Cartouche Charbon RO Buddie,,AquaticLife,,Osmoseur + Accessoires,"Eau Douce, Eau Salée",TRUE,Title,Default Title,0,shopify,5,deny,manual,13.99,'810957012502,8.43
new-life-spectrum-optimum-flakes,New Life Spectrum Optimum Flakes,,New Life Spectrum,,Nourriture,"Eau Douce, Eau Salée",TRUE,Size,45g,0,shopify,6,deny,manual,13.99,'817987029258,6.94
new-life-spectrum-optimum-flakes,,,,,,,,,90g,0,shopify,4,deny,manual,21.99,'817987029265,10.96
salifert-test-calcium,Salifert Test Calcium,,Salifert,,Test,Eau Salée,TRUE,Title,Default Title,0,shopify,3,deny,manual,23.99,'8714079130347,12.84
salifert-test-phosphate,Salifert Test Phosphate,,Salifert,,Test,Eau Salée,TRUE,Title,Default Title,0,shopify,2,deny,manual,24.99,'8714079130361,13.38
salifert-test-nitrite,Salifert Test Nitrite,,Salifert,,Test,Eau Salée,TRUE,Title,Default Title,0,shopify,2,deny,manual,15.99,'8714079130378,8.09
salifert-test-nitrate,Salifert Test Nitrate,,Salifert,,Test,Eau Salée,TRUE,Title,Default Title,0,shopify,2,deny,manual,21.99,'8714079130385,11.85
salifert-test-ammoniac,Salifert Test Ammoniac,,Salifert,,Test,Eau Salée,TRUE,Title,Default Title,0,shopify,2,deny,manual,17.99,'8714079130477,9.54
